image_name,leg_length,torso_length,shoulder_width,hip_width
MPPS\MPPS\men\Screenshot 2024-11-17 014112.png,0.41862354358290954,0.305288791866373,0.5216181115151443,0.2761762542604062
MPPS\MPPS\men\Screenshot 2024-11-17 014217.png,0.4284415146258532,0.2832246683778853,0.4843388426231001,0.23111516089249326
MPPS\MPPS\men\Screenshot 2024-11-17 014238.png,0.39349162277373606,0.32022273317509603,0.4269175433846947,0.176263116508195
MPPS\MPPS\men\Screenshot 2024-11-17 014339.png,0.44269053904649996,0.30186269121643816,0.3354288616148685,0.17676664236846173
MPPS\MPPS\men\Screenshot 2024-11-17 014359.png,0.43932655105256335,0.3096088864795453,0.3920862884464763,0.2211155442920675
MPPS\MPPS\men\Screenshot 2024-11-17 014412.png,0.41792219224633853,0.25639044839059555,0.3501526794202277,0.19778254811822263
MPPS\MPPS\men\Screenshot 2024-11-17 014423.png,0.47673691031106924,0.26303761546395693,0.42656616194955715,0.24881782768570146
MPPS\MPPS\men\Screenshot 2024-11-17 014436.png,0.4449490647061666,0.28736893909081007,0.39076335670055873,0.21691772986405425
MPPS\MPPS\men\Screenshot 2024-11-17 014500.png,0.4300086043807724,0.2787571191883857,0.3440223769832952,0.18816132878938166
MPPS\MPPS\men\Screenshot 2024-11-17 014721.png,0.4546361527377094,0.29661883037359366,0.42301990411379625,0.23883476733547254
MPPS\MPPS\men\Screenshot 2024-11-17 014739.png,0.444552245383682,0.3011392600422188,0.392579341503963,0.22656704202583297
MPPS\MPPS\men\Screenshot 2024-11-17 014805.png,0.44763868119177747,0.3142166314599462,0.42239767996792504,0.24430567237560036
MPPS\MPPS\men\Screenshot 2024-11-17 014929.png,0.4165573989938644,0.31812914799209896,0.3669140159814886,0.23172552788012588
MPPS\MPPS\men\Screenshot 2024-11-17 014945.png,0.4215768829575821,0.3046350662812634,0.4190940490339257,0.23082489637253703
MPPS\MPPS\men\Screenshot 2024-11-17 014958.png,0.47203390325697586,0.2840449690873762,0.36465277297008447,0.21687077777522967
MPPS\MPPS\men\Screenshot 2024-11-17 015536.png,0.5210707198364614,0.27208733606112817,0.3362577470011024,0.19613789863827552
MPPS\MPPS\men\Screenshot 2024-11-17 015559.png,0.46963271531475886,0.2542273889287444,0.35122469104989007,0.19239447793659775
MPPS\MPPS\men\Screenshot 2024-11-17 015628.png,0.5101132526163864,0.2499196241172199,0.31634330825143386,0.18976995870474023
MPPS\MPPS\men\Screenshot 2024-11-17 015658.png,0.49788348899623797,0.2814109308999723,0.3469245877804577,0.18700994922046316
MPPS\MPPS\men\Screenshot 2024-11-17 015718.png,0.4419600489924633,0.2823074886406226,0.38861253464596424,0.2034127939698501
MPPS\MPPS\men\Screenshot 2024-11-17 015910.png,0.464827934096795,0.28368958363741703,0.3047535540294504,0.1777952383973314
MPPS\MPPS\men\Screenshot 2024-11-17 015925.png,0.46806874974971424,0.273695368400951,0.37542102474544836,0.22986407029753644
MPPS\MPPS\men\Screenshot 2024-11-17 015938.png,0.4606219577960654,0.19697015183015062,0.37345414071422334,0.2083468869545397
MPPS\MPPS\men\Screenshot 2024-11-17 015956.png,0.4775565916371666,0.20499819361134208,0.38163181805192126,0.21358832683914428
MPPS\MPPS\men\Screenshot 2024-11-17 020106.png,0.42855164284920977,0.2649918089237412,0.4536119177011614,0.2418598614774419
MPPS\MPPS\men\Screenshot 2024-11-17 020120.png,0.43432525318577203,0.2694541516538772,0.44675931465936375,0.24335069883894853
MPPS\MPPS\men\Screenshot 2024-11-17 020137.png,0.4860386323398492,0.2796126365444729,0.3959941447937322,0.24936634405644556
MPPS\MPPS\men\Screenshot 2024-11-17 020154.png,0.49544255764622713,0.27887468559169215,0.3888638254706825,0.23692096989835185
MPPS\MPPS\men\Screenshot 2024-11-17 020207.png,0.46823242654978137,0.2933463047319472,0.37381268909362236,0.2167153664328338
MPPS\MPPS\men\Screenshot 2024-11-17 020225.png,0.4296155147206773,0.28291252423047997,0.3752722170133643,0.1958287843949839
MPPS\MPPS\men\Screenshot 2024-11-17 020650.png,0.4239841453811447,0.27436283856388516,0.4576291224814833,0.23295389271919917
MPPS\MPPS\men\Screenshot 2024-11-18 080128.png,0.46399820889552784,0.28255166186032205,0.29253390823394254,0.1507807779616601
MPPS\MPPS\men\Screenshot 2024-11-18 080143.png,0.485486429276616,0.276722865483325,0.31925240930626336,0.15148919983304154
MPPS\MPPS\men\Screenshot 2024-11-18 080200.png,0.42186787542948123,0.2951349122698425,0.43473130138406946,0.21983919228974433
MPPS\MPPS\men\Screenshot 2024-11-18 080211.png,0.41464911085054856,0.3237486104300607,0.244973797101975,0.010082552778634757
MPPS\MPPS\men\Screenshot 2024-11-18 080228.png,0.46661359846181644,0.3008893807675411,0.3911543975450238,0.18603627336663237
MPPS\MPPS\men\Screenshot 2024-11-18 080303.png,0.42767764695890903,0.36689224694776096,0.3078443180729477,0.2664976046749702
MPPS\MPPS\men\Screenshot 2024-11-18 080321.png,0.43051170492397867,0.36091137898660736,0.40677962421676483,0.22749730961884845
MPPS\MPPS\men\Screenshot 2024-11-18 080338.png,0.40406456284006104,0.34442739063191075,0.3165093008368293,0.16765441735791636
MPPS\MPPS\men\Screenshot 2024-11-18 080350.png,0.4175608124440591,0.3075825276427644,0.3255310967321522,0.1720714999003029
MPPS\MPPS\men\Screenshot 2024-11-18 080401.png,0.4533480406075539,0.3059572131111721,0.3095052860794797,0.17800156254671962
MPPS\MPPS\men\Screenshot 2024-11-18 080412.png,0.47859534188486313,0.28472339780988953,0.2988567849631092,0.1739465086975868
