image_name,leg_length,torso_length,shoulder_width,hip_width
MPPS\MPPS\women\Screenshot 2024-11-17 004416.png,0.4802305247758209,0.2598335865156854,0.32872151820155326,0.1762116974547604
MPPS\MPPS\women\Screenshot 2024-11-17 004542.png,0.48185834529790006,0.23058921664624304,0.3099144246598608,0.18383865209350178
MPPS\MPPS\women\Screenshot 2024-11-17 004556.png,0.45881241664664424,0.27397908917733993,0.3656631805415804,0.20650598939483938
MPPS\MPPS\women\Screenshot 2024-11-17 004626.png,0.4949892415568491,0.2646828911029586,0.3031192945084331,0.1600216189493221
MPPS\MPPS\women\Screenshot 2024-11-17 004645.png,0.5096790151417178,0.2746519769787573,0.382641588050524,0.23329595027137873
MPPS\MPPS\women\Screenshot 2024-11-17 011223.png,0.4761235752749381,0.26640643691075344,0.27966005734407035,0.17416555796865663
MPPS\MPPS\women\Screenshot 2024-11-17 011308.png,0.46320300682495574,0.24133696104817098,0.26299375808121755,0.1378730685587405
MPPS\MPPS\women\Screenshot 2024-11-17 011653.png,0.4742276065621928,0.23617088648164442,0.26518538271355835,0.14347060840086862
MPPS\MPPS\women\Screenshot 2024-11-17 012754.png,0.5268722224838192,0.21312041451744299,0.2196344045930168,0.12433237237642313
MPPS\MPPS\women\Screenshot 2024-11-17 012927.png,0.43378518398524785,0.21326375872784387,0.30077649331840234,0.17178337268791705
MPPS\MPPS\women\Screenshot 2024-11-17 013108.png,0.4853859166678938,0.249878316699062,0.2928925202840035,0.1792857741495047
MPPS\MPPS\women\Screenshot 2024-11-17 013413.png,0.48406973032776,0.2569073173443461,0.34100327302645644,0.20173042295839239
MPPS\MPPS\women\Screenshot 2024-11-17 013606.png,0.49392519978016264,0.2630890166088285,0.3589532467031227,0.21121431400188695
MPPS\MPPS\women\Screenshot 2024-11-17 020740.png,0.4735430703184211,0.2844150014002955,0.298935486210163,0.1624156769135079
MPPS\MPPS\women\Screenshot 2024-11-17 020755.png,0.4801085200035098,0.2754912559703191,0.3233558078810536,0.17770198607361126
MPPS\MPPS\women\Screenshot 2024-11-17 020912.png,0.4604955063206346,0.23046928622098753,0.2923262228926058,0.16572459232211212
MPPS\MPPS\women\Screenshot 2024-11-17 020923.png,0.46980883681998387,0.21893756806106274,0.3399648238694168,0.17558292676931403
